,principal component 1,principal component 2,Principal component 3,0
0,0.844668942822,4.90924761411,0.788297906421,0
1,0.956476041779,4.98243663365,0.804331045026,0
2,0.955996483205,5.00349250187,0.796392126719,0
3,0.938162785623,5.07034886839,0.752146423251,0
4,0.928434066459,5.097239955,0.734619899294,0
5,0.503008160236,-2.2470824268,4.58937692406,1
6,-0.390970512932,1.94249506783,1.64247959823,1
7,-0.451989961926,1.8444415045,1.67536615063,1
8,-0.391542983853,1.65716329473,1.79787561739,1
9,-0.686888547774,1.0608197147,2.05318881862,1
10,-1.18930402226,0.699964589026,2.19737141863,1
11,-0.979830141875,1.15174907762,1.87761827948,1
12,-0.166043819249,2.15697642986,1.52749035743,1
13,0.543715002511,2.4309016794,1.49947839332,1
14,-0.179993100239,-3.34400278868,2.96149122609,2
15,-1.55235160871,0.533931575567,0.420243114417,2
16,-1.54476677428,0.514561440631,0.439798878872,2
17,-1.00348549229,0.539669420636,0.274291961316,2
18,-1.22020786169,0.62193958204,0.267085224403,2
19,-1.30369744852,0.891429534144,0.151804699736,2
20,-0.845828581513,0.746650081499,0.101610809651,2
21,-0.963468535977,0.592845229893,0.240386352536,2
22,-0.983714611842,0.797463819957,0.321837798742,2
23,-0.785602995596,0.602080011386,0.241715219286,2
24,-0.987450559238,0.430871699173,0.366337997752,2
25,-1.52090413941,0.767301088858,0.162286690843,2
26,-1.18021902217,0.846693575117,-0.0264425640674,2
27,-0.802575638924,1.02467420857,-0.120245536371,2
28,-0.956751663157,1.11776334071,-0.0448693046441,2
29,-1.1615845601,0.714244949466,0.0297348314361,2
30,-0.140502365377,-3.64896254001,2.18385154215,3
31,-1.55830737851,-0.382352013323,-0.0373302636281,3
32,-1.16889205427,-0.541583652991,-0.0510689556203,3
33,-1.17736087268,-0.568103344843,-0.131658629548,3
34,-1.4557428904,-0.0934139566948,-0.392422752296,3
35,-0.451232087797,0.724977666308,-0.720610816336,3
36,-0.839045107685,-0.110922831712,-0.332316008501,3
37,-1.29883627598,-0.428532305477,-0.0762440777388,3
38,-1.44423865828,0.0307417077094,-0.370343690614,3
39,-1.10802989119,0.122202213058,-0.503470533148,3
40,-0.689702284052,0.300063503249,-0.615633819171,3
41,-1.57277121837,-0.0844554756793,-0.531382561797,3
42,-1.55305600113,0.0132176473322,-0.649178800223,3
43,-1.73697746262,-0.159106312158,-0.621843346718,3
44,-1.78433700873,-0.412666215318,-0.281844218973,3
45,-1.77992193214,-0.20791272215,-0.381346635904,3
46,-1.65533238356,0.129564996565,-0.755770623156,3
47,-1.4198813532,-0.3774471231,-0.436809197144,3
48,-1.87412154928,-0.65491320344,-0.197748414108,3
49,-2.14969955822,-0.196853173366,-0.496581646342,3
50,-2.0865174455,-0.237675627003,-0.5153787918,3
51,-1.88467274003,-0.317466596196,-0.586150789922,3
52,-1.9131423975,-0.61907494783,-0.391670201117,3
53,-2.11307127158,-0.708651385565,-0.298953812814,3
54,-1.95891448506,-0.223186790285,-0.609763110783,3
55,-1.71802423974,-0.0571371359467,-0.725440265736,3
56,-1.48363495874,-0.171264971648,-0.597033183705,3
57,-1.69579403049,-0.405180492643,-0.445296335224,3
58,-2.10475499838,-0.47853354702,-0.402979232098,3
59,-2.09662103958,-0.15333231743,-0.53547902004,3
60,-2.0154207738,-0.129939977662,-0.649088866949,3
61,-1.8693718458,-0.477334726906,-0.409533884705,3
62,-1.83144586162,-0.396452105382,-0.439389313001,3
63,-1.55570132309,0.408039702628,-0.859123651331,3
64,-1.23751826697,0.607535571121,-0.828447385617,3
65,-1.81445382858,-0.178580746704,-0.53751918967,3
66,-2.04418187475,-0.263401364969,-0.437948784159,3
67,-1.78698376441,-0.139623149861,-0.602918763272,3
68,-0.0141771550711,-4.27014497511,2.10644973617,4
69,-0.770215819066,-0.0281807183033,-0.826779492364,4
70,-0.519940993301,0.444630281839,-1.05801737262,4
71,-0.86774781032,-0.258931078302,-0.512362782253,4
72,-1.04435874093,-0.386996613753,-0.404859426737,4
73,-0.708208022564,-0.513259480014,-0.488657423717,4
74,-0.532880132138,-0.160451765738,-0.808568513871,4
75,-0.763415794937,-0.286783055081,-0.569603002142,4
76,-1.22382807416,-0.47762814502,-0.362045962916,4
77,-1.0781655752,-0.363513317099,-0.495081753888,4
78,-1.75101803441,-1.01980328772,-0.516603151741,4
79,-2.04454252528,-1.28525488453,-0.279252598549,4
80,-1.14958998676,-0.805074685801,-0.424021434084,4
81,-1.71309055547,-0.773046774896,-0.3537368578,4
82,-1.3630247517,-0.401923080082,-0.703286426131,4
83,-0.264758872858,0.190305356407,-0.997654464275,4
84,1.02993315003,-3.93059526777,2.47340824437,5
85,0.395492068597,-0.292478791062,-0.158647510921,5
86,2.49254448209,-1.23366696694,-0.184696583184,5
87,5.48829762514,0.488598597104,-0.863878866758,5
88,4.3968039476,-0.103538136585,-0.535247525504,5
89,4.26354639985,-0.191535726031,-0.399518123997,5
90,4.54435030084,-0.0316908829063,-0.548559387454,5
91,4.26961903479,-0.0508411574707,-0.541197873073,5
92,3.86765831406,-0.0913356250617,-0.441964704541,5
