1.436,6.723,12.086,0
1.436,6.723,12.086,10
1.436,6.723,12.086,10
0.555,7.316,12.929,9
0.363,7.297,13.484,0
0.363,7.297,13.484,10
0.316,6.895,14.202,0
0.316,6.895,14.202,10
0.44,6.474,14.653,10
0.555,6.119,14.538,10
0.814,5.43,13.178,0
0.814,5.43,13.178,10
0.086,5.104,12.718,10
0.114,4.922,10.218,2
0.114,4.922,10.218,10
0.038,4.731,9.625,8
0.229,4.702,9.653,1
0.229,4.702,9.653,10
0.641,4.367,9.778,9
1.292,3.974,9.462,10
1.34,3.782,8.954,0
1.34,3.782,8.954,10
1.082,3.945,8.36,10
0.584,4.443,8.198,10
0.047,4.29,7.968,0
0.047,4.29,7.968,10
-0.316,4.271,7.814,0
-0.316,4.271,7.814,10
-0.306,4.166,7.757,0
-0.306,4.166,7.757,10
-0.584,3.859,7.221,10
-0.651,3.543,6.292,0
-0.651,3.543,6.292,10
-0.708,3.601,5.688,10
-0.737,3.332,5.736,0
-0.737,3.332,5.736,10
-0.766,3.332,5.602,1
-0.766,3.332,5.602,10
-0.689,3.208,5.229,9
-0.785,3.141,4.97,0
-0.785,3.141,4.97,10
-0.737,3.246,4.922,0
-0.737,3.246,4.922,10
-0.584,3.17,5.104,10
-0.526,3.352,5.66,10
-0.536,3.543,6.158,0
-0.536,3.543,6.158,10
-0.526,3.782,6.943,0
-0.526,3.782,6.943,10
-0.507,4.099,7.719,10
-0.469,4.405,7.996,0
-0.469,4.405,7.996,10
-0.67,4.711,7.776,2
-0.67,4.711,7.776,10
-0.67,4.711,7.776,10
-0.842,4.913,7.565,8
-1.12,5.114,7.776,10
-1.522,5.573,8.062,0
-1.522,5.573,8.062,10
-1.857,5.976,8.542,10
-2.049,6.196,9.452,1
-2.049,6.196,9.452,10
-2.106,6.033,10.036,9
-1.637,5.162,11.119,1
-1.637,5.162,11.119,10
-1.637,5.162,11.119,10
-1.264,4.874,9.155,9
-1.264,4.874,9.155,10
-1.618,5.516,8.868,10
-2.145,6.522,8.916,0
-2.145,6.522,8.916,10
-2.394,7.24,9.739,10
-2.633,7.316,11.023,10
-2.518,7.029,12.086,10
-2.317,6.138,12.852,0
-2.317,6.138,12.852,10
-2.154,5.736,13.417,1
-2.154,5.736,13.417,10
-2.049,5.468,13.848,9
-1.848,4.96,13.752,10
-2.0,4.759,12.919,0
-2.0,4.759,12.919,10
-2.202,4.702,12.277,10
-2.48,4.376,11.396,0
-2.48,4.376,11.396,10
-3.284,3.572,9.481,0
-3.284,3.572,9.481,10
-3.284,3.572,9.481,10
-3.447,3.342,8.897,10
-3.208,3.102,8.705,0
-3.208,3.102,8.705,10
-2.815,2.968,8.839,10
-2.346,2.834,9.376,0
-2.346,2.834,9.376,10
-1.714,2.729,9.701,10
-0.66,2.509,9.921,10
-0.124,2.786,9.596,0
-0.124,2.786,9.596,10
0.134,3.323,9.031,0
0.134,3.323,9.031,10
0.201,3.744,8.073,10
0.028,3.85,7.288,0
